sr_no,theme,week_type,year,session_name,tech_stack,youtube_url
109,"GHW Cloud Week - 2026","Cloud Week",2026,"Be Interview Prepared v2 - JavaScript & React - Part 1","JavaScript","https://youtu.be/DhPjwqbGwd4"
110,"GHW Cloud Week - 2026","Cloud Week",2026,"Be Interview Prepared v2 - JS and React! Part 2","JavaScript","https://youtu.be/hoSMGey6SbU"
111,"GHW Cloud Week - 2026","Cloud Week",2026,"Be Interview Prepared v2 - JS and React! Part 3","JavaScript","https://youtu.be/8yaUxtJs-eI"
112,"GHW Cloud Week - 2026","Cloud Week",2026,"Be Interview Prepared v2 - JavaScript & React - Part 4","JavaScript","https://youtu.be/eb2VEpD-ms0"
113,"GHW API Week - 2026","API Week",2026,"Building a persistent memory MCP server Part 1","TypeScript","https://youtu.be/aR_UTIbkGCU"
114,"GHW API Week - 2026","API Week",2026,"Building a persistent memory MCP server Part 2","TypeScript","https://youtu.be/Wubhfm3MiIQ"
115,"GHW API Week - 2026","API Week",2026,"Building a persistent memory MCP server Part 3","TypeScript","https://youtu.be/37ue9JsByoc"
116,"GHW Social Good Week - 2026","Social Good Week",2026,"Build ToolLoop - Community tool lending platform Pt. 1","React","https://youtu.be/4gf3lJXF_3w"
117,"GHW Social Good Week - 2026","Social Good Week",2026,"Build ToolLoop - Community tool lending platform Pt. 2","React","https://youtu.be/7PKzaDCLAmc"
118,"GHW Social Good Week - 2026","Social Good Week",2026,"Build ToolLoop - Community tool lending platform Pt. 3","React","https://youtu.be/tqYAnLbnSgw"
119,"GHW Agents Week - 2026","Agents Week",2026,"Chrome DevTools Pt.1","JavaScript","https://youtu.be/wWpvxsDeVFM"
120,"GHW Agents Week - 2026","Agents Week",2026,"Chrome DevTools Pt.2","JavaScript","https://youtu.be/eRSUt16qywQ"
121,"GHW Agents Week - 2026","Agents Week",2026,"Browser Automation with Playwright Pt.1","JavaScript","https://youtu.be/KkRg8RYful8"
122,"GHW Agents Week - 2026","Agents Week",2026,"Browser Automation with Playwright Pt.2","JavaScript","https://youtu.be/jetZdfiVHsQ"
